cartodb_id,the_geom,gisjoin,total,cnty_trct,tracta,countya,statea,name,county,state,year,field_2,otherunspecified,africanlanguages,hebrew,arabic,hungarian,othernorthamericanindian,navajo,otherpacificisland,tagalog,otherasian,vietnamese,laotian,thai,hmong,mon_khmer,korean,japanese,chinese,otherindo_european,otherindic,urdu,hindi,gujarati,persian,armenian,otherslavic,serbo_croatian,polish,russian,greek,scandinavian,otherwestgermanic,yiddish,german,portuguese,italian,frenchcreole,french,spanish,onlyenglish
1,,3600050000100,8430,5100,100,5,36,"Census Tract 1, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.001,0,0.003,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0.004,0.004,0.002,0,0,0,0,0,0,0,0.001,0.005,0,0,0,0,0,0.001,0.002,0.008,0,0.308,0.659
2,,3600050000200,4854,5200,200,5,36,"Census Tract 2, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0.034,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564,0.367
3,,3600050000400,5289,5400,400,5,36,"Census Tract 4, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.018,0.502,0.473
4,,3600050001600,4963,51600,1600,5,36,"Census Tract 16, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.551,0.402
5,,3600050001900,2392,51900,1900,5,36,"Census Tract 19, Bronx County, New York",Bronx County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.015,0,0,0.026,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.004,0,0,0.014,0.024,0.545,0.37
6,,3600050002000,8387,52000,2000,5,36,"Census Tract 20, Bronx County, New York",Bronx County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.005,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.005,0.49,0.49
7,,3600050002300,4450,52300,2300,5,36,"Census Tract 23, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.606,0.37
8,,3600050002500,4684,52500,2500,5,36,"Census Tract 25, Bronx County, New York",Bronx County,New York,2010-2014,,0.002,0.001,0,0,0,0,0,0,0.001,0.008,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0.003,0.673,0.275
9,,3600050002701,2927,52701,2701,5,36,"Census Tract 27.01, Bronx County, New York",Bronx County,New York,2010-2014,,0.015,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.572,0.332
10,,3600050002702,4380,52702,2702,5,36,"Census Tract 27.02, Bronx County, New York",Bronx County,New York,2010-2014,,0.021,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.591,0.383
11,,3600050002800,5442,52800,2800,5,36,"Census Tract 28, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.053,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.711
12,,3600050003100,1428,53100,3100,5,36,"Census Tract 31, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.057,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.682,0.182
13,,3600050003300,3543,53300,3300,5,36,"Census Tract 33, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.36
14,,3600050003500,3411,53500,3500,5,36,"Census Tract 35, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.011,0.649,0.291
15,,3600050003700,181,53700,3700,5,36,"Census Tract 37, Bronx County, New York",Bronx County,New York,2010-2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0.464,0.381
16,,3600050003800,1176,53800,3800,5,36,"Census Tract 38, Bronx County, New York",Bronx County,New York,2010-2014,,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.379,0.522
